cod_ibge;ano;nascidosvivos;popfem_15a49anos;populacao
3516101;2000;45;871;3126
3516200;2000;5503;81326;287162
3516309;2000;2937;37517;133143
3516408;2000;2243;29736;107883
3516507;2000;39;714;2724
3516606;2000;115;1984;7862
3516705;2000;778;11649;43145
3516804;2000;60;967;3588
3516853;2000;61;1030;4123
3516903;2000;148;2905;10819
3517000;2000;165;2410;10368
3517109;2000;68;1145;4426
3517208;2000;169;2460;9179
3517307;2000;114;1349;5206
3517406;2000;556;9675;34574
3517505;2000;168;3917;14049
3517604;2000;469;4796;19712
3517703;2000;381;5113;18890
3517802;2000;118;2346;8888
3517901;2000;139;2262;8836
3518008;2000;23;509;2005
3518107;2000;129;1642;6315
3518206;2000;418;7937;28822
3518305;2000;468;5855;21864
3518404;2000;1864;29602;104101
3518503;2000;179;2585;10179
3518602;2000;590;8600;31061
3518701;2000;5668;76638;264235
3518800;2000;23879;317371;1069609
3518859;2000;125;1642;6365
3518909;2000;69;1123;4301
3519006;2000;138;2108;7983
3519055;2000;175;2109;7195
3519071;2000;2951;44142;151697
3519105;2000;135;2183;8275
3519204;2000;73;1796;6786
3519253;2000;64;749;3044
3519303;2000;524;7172;26378
3519402;2000;126;2477;9440
3519501;2000;83;1436;5699
3519600;2000;687;12956;46534
3519709;2000;1409;16828;64220
3519808;2000;122;1805;6766
3519907;2000;129;1886;7258
3520004;2000;357;6403;22596
3520103;2000;372;7120;25888
3520202;2000;170;2176;8271
3520301;2000;639;6802;27410
3520400;2000;465;5745;20752
3520426;2000;90;1773;6653
3520442;2000;337;7245;23976
3520509;2000;2783;42188;146530
3520608;2000;68;1277;4929
3520707;2000;61;1059;4064
3520806;2000;39;864;3318
3520905;2000;241;3286;12542
3521002;2000;318;4642;18289
3521101;2000;84;1135;4321
3521150;2000;42;899;3461
3521200;2000;90;1049;4563
3521309;2000;210;3234;11855
3521408;2000;233;4377;15517
3521507;2000;92;1758;6653
3521606;2000;74;1855;7464
3521705;2000;355;4880;18901
3521804;2000;387;5592;21006
3521903;2000;187;3841;14220
3522000;2000;29;663;2635
3522109;2000;1414;19095;71694
3522158;2000;77;733;3232
3522208;2000;3948;38010;129180
3522307;2000;2759;33859;125314
3522406;2000;2075;22429;82773
3522505;2000;3758;46255;161810
3522604;2000;906;16996;63309
3522653;2000;104;800;3574
3522703;2000;531;10119;37703
3522802;2000;265;3742;14355
3522901;2000;154;2685;10358
3523008;2000;63;961;3837
3523107;2000;6485;77055;271649
3523206;2000;972;12227;46508
3523305;2000;196;3327;13592
3523404;2000;1388;23041;80987
3523503;2000;332;3979;15429
3523602;2000;188;2995;12805
3523701;2000;113;1340;5409
3523800;2000;103;1898;7459
3523909;2000;2669;38220;135069
3524006;2000;471;7394;26075
3524105;2000;553;10018;36236
3524204;2000;101;1626;6423
3524303;2000;1065;18940;67325
3524402;2000;3537;55509;191011
3524501;2000;58;1116;4108
3524600;2000;305;4357;17019
3524709;2000;581;8513;29533
3524808;2000;618;13115;46137
3524907;2000;66;1007;3985
3525003;2000;2218;27285;91478
3525102;2000;530;8224;30660
3525201;2000;295;4513;16970
3525300;2000;1801;31466;111921
3525409;2000;62;806;3280
3525508;2000;173;2747;10386
3525607;2000;66;1009;3834
3525706;2000;500;7825;28662
3525805;2000;80;1043;4163
3525854;2000;17;539;2190
3525904;2000;5389;93138;323056
3526001;2000;201;4186;17012
3526100;2000;510;5105;20480
3526209;2000;661;6912;26388
3526308;2000;71;1185;4954
3526407;2000;367;5880;22114
3526506;2000;65;1320;5134
3526605;2000;133;1601;5994
3526704;2000;1471;21830;80628
3526803;2000;1068;15273;54936
3526902;2000;4095;71319;248618
3527009;2000;71;1427;5318
3527108;2000;1085;18482;65886
3527207;2000;1396;21654;77914
3527256;2000;22;517;2004
3527306;2000;425;6854;23817
3527405;2000;289;4640;18311
3527504;2000;34;560;2156
3527603;2000;158;1928;7146
3527702;2000;66;1093;4273
3527801;2000;78;1074;4228
3527900;2000;45;762;2895
3528007;2000;304;4246;15729
3528106;2000;76;1944;7385
3528205;2000;54;1031;3763
3528304;2000;44;892;3423
3528403;2000;849;11260;39860
3528502;2000;1302;16793;59883
3528601;2000;125;2147;8261
3528700;2000;61;978;3697
3528809;2000;190;3520;12998
3528858;2000;27;604;2234
3528908;2000;40;925;3858
3529005;2000;3278;56125;196965
3529104;2000;39;579;2194
3529203;2000;328;5768;22320
3529302;2000;1202;20378;71669
3529401;2000;7942;107706;362676
3529500;2000;31;951;3756
3529609;2000;54;1072;4023
3529658;2000;37;492;1931
3529708;2000;363;5242;19003
3529807;2000;226;3030;11390
3529906;2000;533;5520;22349
3530003;2000;31;699;2597
3530102;2000;377;6500;25921
3530201;2000;211;4120;16203
3530300;2000;661;13514;48233
3530409;2000;45;973;3734
3530508;2000;1122;17765;65503
3530607;2000;6764;93800;329653
3530706;2000;2103;34903;123984
3530805;2000;1212;22721;81293
3530904;2000;45;776;3102
3531001;2000;26;545;2056
3531100;2000;772;8842;34897
3531209;2000;81;1651;6312
3531308;2000;614;11962;43574
3531407;2000;207;5033;18404
3531506;2000;350;5227;19534
3531605;2000;55;1038;4095
3531704;2000;51;929;3613
3531803;2000;803;10368;37207
3531902;2000;448;6807;25386
3532009;2000;190;2763;9893
3532058;2000;55;1047;3866
3532108;2000;34;1018;3969
3532157;2000;44;595;2272
3532207;2000;47;980;3737
3532306;2000;96;1605;6947
3532405;2000;283;3563;14381
3532504;2000;99;2373;8901
3532603;2000;126;2806;10196
3532702;2000;39;856;3262
3532801;2000;58;1267;4762
3532827;2000;192;1765;7272
3532843;2000;33;605;2485
3532868;2000;18;255;990
3532900;2000;118;2008;7286
3533007;2000;274;4529;16998
3533106;2000;31;525;2087
3533205;2000;17;542;2062
3533254;2000;38;789;3224
3533304;2000;44;743;2748
3533403;2000;767;12194;41987
3533502;2000;544;8729;32413
3533601;2000;73;1668;6304
3533700;2000;81;1037;4165
3533809;2000;42;722;2992
3533908;2000;662;12429;45981
3534005;2000;62;943;3407
3534104;2000;71;1556;5892
3534203;2000;72;1105;4149
3534302;2000;594;10075;35956
3534401;2000;13861;196242;651736
3534500;2000;25;672;2552
3534609;2000;403;8046;29641
3534708;2000;1684;26328;93693
3534757;2000;90;1697;6276
3534807;2000;120;1860;7147
3534906;2000;159;3033;12517
3535002;2000;103;2371;9099
3535101;2000;148;2280;8425
3535200;2000;154;2671;10327
3535309;2000;311;5461;20681
3535408;2000;248;3559;13636
3535507;2000;717;10752;39559
3535606;2000;281;4399;16988
3535705;2000;84;1412;5422
3535804;2000;340;4018;15482
3535903;2000;54;940;3633
3536000;2000;145;2826;11107
3536109;2000;88;1240;4718
3536208;2000;344;4598;17601
3536257;2000;19;513;1944
3536307;2000;194;3012;11399
3536406;2000;110;1361;5290
3536505;2000;1019;15333;51163
3536570;2000;18;419;1778
3536604;2000;155;2264;8470
3536703;2000;658;9710;36567
3536802;2000;90;1347;5604
3536901;2000;25;717;2737
3537008;2000;253;3939;14982
3537107;2000;572;9887;35141
3537156;2000;54;778;2858
3537206;2000;182;2205;9173
3537305;2000;831;15058;54570
3537404;2000;365;6777;25033
3537503;2000;79;1560;6207
3537602;2000;1241;13248;51237
3537701;2000;69;1180;4624
3537800;2000;995;12671;50065
3537909;2000;507;6152;23902
3538006;2000;2589;35694;125775
3538105;2000;160;3428;13101
3538204;2000;176;2774;10959
3538303;2000;33;937;3476
3538501;2000;215;4186;15196
3538600;2000;464;6227;23303
3538709;2000;5427;93483;328642
3538808;2000;498;7481;27879
3538907;2000;297;5024;20083
3539004;2000;144;2618;10036
3539103;2000;283;3358;12344
3539202;2000;393;6138;22093
3539301;2000;1010;17857;64782
3539400;2000;181;2849;10575
3539509;2000;700;8105;31112
3539608;2000;59;980;3668
3539707;2000;52;732;2867
3539806;2000;1970;27647;95597
3539905;2000;59;1204;4771
3540002;2000;306;5127;18162
3540101;2000;38;958;3692
3540200;2000;673;8167;29608
3540259;2000;53;903;3536
3540309;2000;37;658;2543
3540408;2000;63;1141;4452
3540507;2000;116;1616;6642
3540606;2000;809;12346;45424
3540705;2000;746;13205;47343
3540754;2000;209;3801;13562
3540804;2000;137;3640;13631
3540853;2000;17;346;1432
3540903;2000;222;3648;12880
3541000;2000;3871;54036;192769
3541059;2000;64;1019;3941
3541109;2000;55;1116;4319
3541208;2000;180;3664;14650
3541307;2000;719;10908;39254
3541406;2000;3027;54969;188949
3541505;2000;554;10366;37335
3541604;2000;541;8258;31073
3541653;2000;37;694;2643
3541703;2000;168;3151;11652
3541802;2000;50;579;2169
3541901;2000;195;2409;9098
3542008;2000;79;1434;5440
3542107;2000;139;2242;8362
3542206;2000;484;7759;28754
3542305;2000;64;936;4047
3542404;2000;272;4695;16977
3542503;2000;64;1225;4742
3542602;2000;1135;14371;53704
3542701;2000;91;1475;5572
3542800;2000;79;758;3512
3542909;2000;217;2949;11237
3543006;2000;583;4947;21211
3543105;2000;74;972;3874
3543204;2000;63;1147;4488
3543238;2000;27;560;2221
3543253;2000;140;1836;7377
3543303;2000;1854;31051;104305
3543402;2000;8188;147302;504162
3543501;2000;119;1783;7210
3543600;2000;40;927;3321
3543709;2000;197;2713;10330
3543808;2000;127;2645;10263
3543907;2000;2545;46956;167902
3544004;2000;405;6498;23448
3544103;2000;730;10672;37015
3544202;2000;116;1959;8552
3544251;2000;476;6853;24192
3544301;2000;142;2395;8551
3544400;2000;25;610;2340
3544509;2000;28;697;2611
3544608;2000;52;1295;4947
3544707;2000;30;621;2441
3544806;2000;60;1213;4555
3544905;2000;119;2567;9308
3545001;2000;340;3678;14326
3545100;2000;76;1093;4402
3545159;2000;51;1647;5792
3545209;2000;1531;26264;92933
3545308;2000;738;9502;34965
3545407;2000;137;2180;8437
3545506;2000;63;831;3082
3545605;2000;216;3588;13441
3545704;2000;67;1441;5589
3545803;2000;2472;49642;169818
3546009;2000;200;3564;12982
3546108;2000;29;541;2126
3546207;2000;42;913;3525
3546256;2000;25;439;1795
3546306;2000;473;6900;25517
3546405;2000;670;10983;40876
3546504;2000;77;1442;5739
3546603;2000;377;7404;26478
3546702;2000;284;4356;15845
3546801;2000;1066;12004;43682
3546900;2000;141;2047;7837
3547007;2000;81;1152;4669
3547106;2000;38;709;2805
3547205;2000;15;458;1898
3547304;2000;1441;21812;74343
3547403;2000;33;671;2701
3547502;2000;333;6969;26118
3547601;2000;337;5695;21413
3547650;2000;10;334;1379
3547700;2000;355;5554;20741
3547809;2000;11046;190490;649000
3547908;2000;68;1460;5757
3548005;2000;333;4976;18074
3548054;2000;86;1838;6930
3548104;2000;87;1555;6150
3548203;2000;116;1599;6318
3548302;2000;31;623;2523
3548401;2000;55;982;3816
3548500;2000;6207;119991;417975
3548609;2000;147;2689;10339
3548708;2000;12945;214210;701756
3548807;2000;1754;40555;140241
3548906;2000;2890;54877;192639
3549003;2000;39;733;2860
3549102;2000;1128;21812;77304
3549201;2000;43;689;2661
3549250;2000;19;436;1671
3549300;2000;18;546;2185
3549409;2000;709;11641;41530
3549508;2000;135;2041;8066
3549607;2000;50;1013;4141
3549706;2000;859;13563;50022
3549805;2000;5157;105831;357705
3549904;2000;10163;159381;538298
3549953;2000;250;3302;12145
3550001;2000;182;2588;10424
3550100;2000;720;9895;36502
3550209;2000;611;7927;30743
3550308;2000;207462;3132651;10426384
3550407;2000;463;7468;27811
3550506;2000;129;1720;6889
3550605;2000;1377;18391;66537
3550704;2000;1293;16476;57745
3550803;2000;204;3315;12448
3550902;2000;204;3555;13658
3551009;2000;5706;87842;303199
3551108;2000;128;1932;7792
3551207;2000;67;913;3732
3551306;2000;25;676;2546
3551405;2000;154;1878;7433
3551504;2000;699;9107;32499
3551603;2000;385;6404;23829
3551702;2000;1656;26909;94499
3551801;2000;277;3331;13702
3551900;2000;262;3625;13570
3552007;2000;98;1344;5373
3552106;2000;481;8630;32684
3552205;2000;8948;141356;492245
3552304;2000;107;1998;7363
3552403;2000;3524;57406;196099
3552502;2000;5180;65180;227917
3552551;2000;48;722;2786
